id;documento
1;A Agência Espacial Brasileira (AEB) anunciou nesta semana um novo programa de formação de astronautas para missões científicas. O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos.
2;Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85% em testes clínicos realizados com voluntários adultos. Os resultados foram publicados na revista científica The Lancet na última semana.
3;O Instituto Nacional de Pesquisas Espaciais (INPE) identificou um aumento de 22% no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior. Os dados foram coletados via satélite e confirmados por equipes em campo.
4;A Fundação Oswaldo Cruz (Fiocruz) iniciou a produção em larga escala de um novo antibiótico desenvolvido a partir de fungos encontrados no Cerrado brasileiro. O medicamento tem potencial para combater bactérias resistentes aos tratamentos convencionais.
5;Cientistas brasileiros do Centro Nacional de Pesquisa em Energia e Materiais (CNPEM) criaram um novo material semicondutor capaz de dobrar a eficiência de células solares fotovoltaicas. A descoberta pode revolucionar a geração de energia limpa no país.
6;O programa governamental de incentivo à pesquisa tecnológica Ciência sem Fronteiras completou dez anos com mais de oito mil bolsas concedidas a pesquisadores brasileiros para estudos no exterior. Os ex-bolsistas contribuíram com mais de três mil artigos científicos publicados.
7;A Empresa Brasileira de Pesquisa Agropecuária (Embrapa) lançou uma nova variedade de soja resistente à seca, capaz de produzir 30% mais grãos em regiões com baixa precipitação pluvial. A tecnologia foi desenvolvida ao longo de doze anos de pesquisa.
8;Pesquisadores da Universidade Federal do Rio de Janeiro descobriram uma nova espécie de dinossauro herbívoro que viveu no território brasileiro há cerca de 70 milhões de anos. Os fósseis foram encontrados no interior de Minas Gerais e o animal foi batizado de Irritator challengeri.
9;O governo federal anunciou a construção de um novo acelerador de partículas no estado de São Paulo, com investimento previsto de dois bilhões de reais. O equipamento será o mais moderno da América Latina e deverá atrair pesquisadores de todo o mundo.
10;Médicos do Hospital das Clínicas de São Paulo realizaram com sucesso o primeiro transplante de células-tronco para tratamento de esclerose lateral amiotrófica no país. O paciente, de 42 anos, apresentou melhora significativa na capacidade motora após o procedimento.
11;A Universidade Estadual de Campinas (Unicamp) desenvolveu um software de inteligência artificial capaz de diagnosticar melanoma com precisão de 94%, superando a taxa média de acerto de dermatologistas humanos. O sistema analisa imagens dermatoscópicas em menos de três segundos.
