Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
A	DET	0	1	0	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Agência	PROPN	0	1	1	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Espacial	PROPN	0	1	2	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Brasileira	PROPN	0	1	3	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
(	PUNCT	0	1	4	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
AEB	PROPN	1	1	5	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
)	PUNCT	0	1	6	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
anunciou	VERB	0	1	7	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
nesta	ADP	0	1	8	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
semana	NOUN	0	1	9	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
um	DET	0	1	10	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
novo	ADJ	0	1	11	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
programa	NOUN	0	1	12	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	13	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
formação	NOUN	0	1	14	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	15	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
astronautas	NOUN	0	1	16	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
para	ADP	0	1	17	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
missões	NOUN	0	1	18	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
científicas	ADJ	0	1	19	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
.	PUNCT	0	1	20	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
O	DET	0	1	21	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
programa	NOUN	0	1	22	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
prevê	VERB	0	1	23	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
a	DET	0	1	24	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
seleção	NOUN	0	1	25	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	26	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
dez	NUM	0	1	27	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
candidatos	NOUN	0	1	28	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
com	ADP	0	1	29	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
formação	NOUN	0	1	30	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
em	ADP	0	1	31	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
ciências	NOUN	0	1	32	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
exatas	ADJ	1	1	33	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
ou	CCONJ	0	1	34	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
biológicas	ADJ	1	1	35	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
para	ADP	0	1	36	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
um	DET	0	1	37	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
treinamento	NOUN	0	1	38	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	39	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
dois	NUM	0	1	40	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
anos	NOUN	0	1	41	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
.	PUNCT	0	1	42	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
0	['DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]	1	0	1	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Pesquisadores	NOUN	1	2	0	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
da	ADP	0	2	1	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Universidade	PROPN	0	2	2	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
de	ADP	0	2	3	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
São	PROPN	0	2	4	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Paulo	PROPN	0	2	5	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
desenvolveram	VERB	0	2	6	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
uma	DET	0	2	7	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
vacina	NOUN	1	2	8	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
experimental	ADJ	0	2	9	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
