Token	POS-Tag	OOV	Id	Index	Documento
A	DET	0	1	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Agência	PROPN	0	1	1	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Espacial	PROPN	0	1	2	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Brasileira	PROPN	0	1	3	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
(	PUNCT	0	1	4	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
AEB	PROPN	1	1	5	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
)	PUNCT	0	1	6	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
anunciou	VERB	0	1	7	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
nesta	ADP	0	1	8	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
semana	NOUN	0	1	9	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
um	DET	0	1	10	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
novo	ADJ	0	1	11	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
programa	NOUN	0	1	12	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	13	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
formação	NOUN	0	1	14	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	15	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
astronautas	NOUN	0	1	16	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
para	ADP	0	1	17	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
missões	NOUN	0	1	18	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
científicas	ADJ	0	1	19	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
.	PUNCT	0	1	20	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
O	DET	0	1	21	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
programa	NOUN	0	1	22	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
prevê	VERB	0	1	23	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
a	DET	0	1	24	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
seleção	NOUN	0	1	25	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	26	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
dez	NUM	0	1	27	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
candidatos	NOUN	0	1	28	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
com	ADP	0	1	29	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
formação	NOUN	0	1	30	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
em	ADP	0	1	31	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
ciências	NOUN	0	1	32	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
exatas	ADJ	1	1	33	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
ou	CCONJ	0	1	34	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
biológicas	ADJ	1	1	35	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
para	ADP	0	1	36	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
um	DET	0	1	37	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
treinamento	NOUN	0	1	38	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
de	ADP	0	1	39	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
dois	NUM	0	1	40	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
anos	NOUN	0	1	41	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
.	PUNCT	0	1	42	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Pesquisadores	NOUN	1	2	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
da	ADP	0	2	1	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Universidade	PROPN	0	2	2	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
de	ADP	0	2	3	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
São	PROPN	0	2	4	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Paulo	PROPN	0	2	5	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
desenvolveram	VERB	0	2	6	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
uma	DET	0	2	7	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
vacina	NOUN	1	2	8	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
experimental	ADJ	0	2	9	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
contra	ADP	0	2	10	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
a	DET	0	2	11	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
dengue	NOUN	1	2	12	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
que	PRON	0	2	13	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
mostrou	VERB	0	2	14	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
eficácia	NOUN	0	2	15	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
de	ADP	0	2	16	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
85	NUM	0	2	17	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
%	SYM	0	2	18	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
em	ADP	0	2	19	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
