Sentença	Id	Index	Granularidade	Documento
A Agência Espacial Brasileira (AEB) anunciou nesta semana um novo programa de formação de astronautas para missões científicas.	1	0	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos.	1	1	0	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
0	1	-1	1	A Agência Espacial Brasileira ( AEB ) anunciou nesta semana um novo programa de formação de astronautas para missões científicas . O programa prevê a seleção de dez candidatos com formação em ciências exatas ou biológicas para um treinamento de dois anos .
Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85% em testes clínicos realizados com voluntários adultos.	2	0	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Os resultados foram publicados na revista científica	2	1	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
The Lancet na última semana.	2	2	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
1	2	-1	1	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
O Instituto Nacional de Pesquisas Espaciais (INPE) identificou um aumento de 22% no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior.	3	0	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Os dados foram coletados via satélite e confirmados por equipes em campo.	3	1	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
2	3	-1	1	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
